name,directory,image,iframe
Minesweeper,minesweeper,https://selenite.cc/resources/semag/minesweeper/cover.png,https://selenite.cc/resources/semag/minesweeper/index.html
POOM,poom,https://selenite.cc/resources/semag/poom/cover.png,https://selenite.cc/resources/semag/poom/index.html
Solitaire,solitaire,https://selenite.cc/resources/semag/solitaire/cover.png,https://selenite.cc/resources/semag/solitaire/index.html
Spank the Monkey,spankthemonkey,https://selenite.cc/resources/semag/spankthemonkey/cover.png,https://selenite.cc/resources/semag/spankthemonkey/index.html
Pool,pool,https://selenite.cc/resources/semag/pool/cover.png,https://selenite.cc/resources/semag/pool/index.html
Yohoho.io,yohoho,https://selenite.cc/resources/semag/yohoho/cover.png,https://selenite.cc/resources/semag/yohoho/index.html
Tube Jumpers,tube-jumpers,https://selenite.cc/resources/semag/tube-jumpers/cover.png,https://selenite.cc/resources/semag/tube-jumpers/index.html
Hill Climb Racing 2,hillclimbracing2,https://selenite.cc/resources/semag/hillclimbracing2/cover.png,https://selenite.cc/resources/semag/hillclimbracing2/index.html
DOOM,doom,https://selenite.cc/resources/semag/doom/logo.png,https://selenite.cc/resources/semag/doom/index.html
Awesome Tanks,awesometanks,https://selenite.cc/resources/semag/awesometanks/cover.png,https://selenite.cc/resources/semag/awesometanks/index.html
Pong,pong,https://selenite.cc/resources/semag/pong/cover.png,https://selenite.cc/resources/semag/pong/index.html
A Dance of Fire & Ice,adofai,https://selenite.cc/resources/semag/adofai/splash.png,https://selenite.cc/resources/semag/adofai/index.html
Friday Night Funkin,fridaynightfunkin,https://selenite.cc/resources/semag/fridaynightfunkin/favicon.png,https://selenite.cc/resources/semag/fridaynightfunkin/index.html
Worlds Hardest Game,worldshardestgame,https://selenite.cc/resources/semag/worldshardestgame/icon.png,https://selenite.cc/resources/semag/worldshardestgame/index.html
Celeste (PICO-8),celeste,https://selenite.cc/resources/semag/celeste/icon.png,https://selenite.cc/resources/semag/celeste/index.html
Mario,mario,https://selenite.cc/resources/semag/mario/icon.png,https://selenite.cc/resources/semag/mario/index.html
60s Burger Run,60sburgerrun,https://selenite.cc/resources/semag/60sburgerrun/icon.png,https://selenite.cc/resources/semag/60sburgerrun/index.html
Cluster Rush,cluster-rush,https://selenite.cc/resources/semag/cluster-rush/icon.jpg,https://selenite.cc/resources/semag/cluster-rush/index.html
Vex 3,vex3,https://selenite.cc/resources/semag/vex3/icon.png,https://selenite.cc/resources/semag/vex3/index.html
Adventure Capitalist,adventure-capitalist,https://selenite.cc/resources/semag/adventure-capitalist/logo.webp,https://selenite.cc/resources/semag/adventure-capitalist/index.html
Bloons Tower Defense 3,btd3,https://selenite.cc/resources/semag/btd3/icon.png,https://selenite.cc/resources/semag/btd3/index.html
Avalanche,avalanche,https://selenite.cc/resources/semag/avalanche/icon.png,https://selenite.cc/resources/semag/avalanche/index.html
Slope,slope,https://selenite.cc/resources/semag/slope/slope4.jpeg,https://selenite.cc/resources/semag/slope/index.html
Cell Machine,cell-machine,https://selenite.cc/resources/semag/cell-machine/img/icon.png,https://selenite.cc/resources/semag/cell-machine/index.html
Run 2,run2,https://selenite.cc/resources/semag/run2/icon.jpg,https://selenite.cc/resources/semag/run2/index.html
Vex 5,vex5,https://selenite.cc/resources/semag/vex5/icon.png,https://selenite.cc/resources/semag/vex5/index.html
Vex 4,vex4,https://selenite.cc/resources/semag/vex4/vex4.png,https://selenite.cc/resources/semag/vex4/index.html
Vex 2,vex2,https://selenite.cc/resources/semag/vex2/icon.png,https://selenite.cc/resources/semag/vex2/index.html
Crossy Road,crossyroad,https://selenite.cc/resources/semag/crossyroad/chicken.png,https://selenite.cc/resources/semag/crossyroad/index.html
Wall Smash,wallsmash,https://selenite.cc/resources/semag/wallsmash/icon.png,https://selenite.cc/resources/semag/wallsmash/index.html
Death Run 3D,death-run-3d,https://selenite.cc/resources/semag/death-run-3d/img/death.png,https://selenite.cc/resources/semag/death-run-3d/index.html
Gun Mayhem 2,gunmayhem2,https://selenite.cc/resources/semag/gunmayhem2/icon.png,https://selenite.cc/resources/semag/gunmayhem2/index.html
CircloO,circloo,https://selenite.cc/resources/semag/circloo/icon.png,https://selenite.cc/resources/semag/circloo/index.html
Vex,vex,https://selenite.cc/resources/semag/vex/icon.png,https://selenite.cc/resources/semag/vex/index.html
Stack,stack,https://selenite.cc/resources/semag/stack/icon.png,https://selenite.cc/resources/semag/stack/index.html
xx142-b2.exe,xx142-b2.exe,https://selenite.cc/resources/semag/xx142-b2.exe/icon.png,https://selenite.cc/resources/semag/xx142-b2.exe/index.html
paper.io,paperio,https://selenite.cc/resources/semag/paperio/icon.png,https://selenite.cc/resources/semag/paperio/index.html
Chibi Knight,chibiknight,https://selenite.cc/resources/semag/chibiknight/icon.png,https://selenite.cc/resources/semag/chibiknight/index.html
1v1.lol,1v1lol,https://selenite.cc/resources/semag/1v1lol/splash.png,https://selenite.cc/resources/semag/1v1lol/index.html
Dino,dino,https://selenite.cc/resources/semag/dino/icon.png,https://selenite.cc/resources/semag/dino/index.html
Tetris,tetris,https://selenite.cc/resources/semag/tetris/favico.ico,https://selenite.cc/resources/semag/tetris/index.html
Geometry Dash (Scratch),geometrydash,https://selenite.cc/resources/semag/geometrydash/icon.png,https://selenite.cc/resources/semag/geometrydash/index.html
Sand Game,sand,https://selenite.cc/resources/semag/sand/icon.png,https://selenite.cc/resources/semag/sand/index.html
Dante,dante,https://selenite.cc/resources/semag/dante/icon.png,https://selenite.cc/resources/semag/dante/index.html
Wordle,wordle,https://selenite.cc/resources/semag/wordle/icon.png,https://selenite.cc/resources/semag/wordle/index.html
Offline Paradise,offlineparadise,https://selenite.cc/resources/semag/offlineparadise/icon.png,https://selenite.cc/resources/semag/offlineparadise/index.html
2048,2048,https://selenite.cc/resources/semag/2048/icon.png,https://selenite.cc/resources/semag/2048/index.html
Doodle Jump,doodlejump,https://selenite.cc/resources/semag/doodlejump/icon.png,https://selenite.cc/resources/semag/doodlejump/index.html
Weave Silk,weavesilk,https://selenite.cc/resources/semag/weavesilk/icon.png,https://selenite.cc/resources/semag/weavesilk/index.html
Super Meat Boy,supermeatboy,https://selenite.cc/resources/semag/supermeatboy/icon.png,https://selenite.cc/resources/semag/supermeatboy/index.html
Vex 6,vex6,https://selenite.cc/resources/semag/vex6/icon.png,https://selenite.cc/resources/semag/vex6/index.html
WebGL Fluid Sim,fluidsim,https://selenite.cc/resources/semag/fluidsim/icon.png,https://selenite.cc/resources/semag/fluidsim/index.html
Basketball Stars,basketball-stars,https://selenite.cc/resources/semag/basketball-stars/icon.png,https://selenite.cc/resources/semag/basketball-stars/index.html
osu! (Scratch),osu,https://selenite.cc/resources/semag/osu/icon.png,https://selenite.cc/resources/semag/osu/index.html
Cookie Clicker,cookieclicker,https://selenite.cc/resources/semag/cookieclicker/img/perfectCookie.png,https://selenite.cc/resources/semag/cookieclicker/index.html
Superhot,superhot,https://selenite.cc/resources/semag/superhot/icon.png,https://selenite.cc/resources/semag/superhot/index.html
Super Mario 64,supermario64,https://selenite.cc/resources/semag/supermario64/icon.png,https://selenite.cc/resources/semag/supermario64/index.html
Gun Mayhem Redux,gunmayhemredux,https://selenite.cc/resources/semag/gunmayhemredux/icon.png,https://selenite.cc/resources/semag/gunmayhemredux/index.html
I Wanna Be Thy Copy,iwbtc,https://selenite.cc/resources/semag/iwbtc/icon.png,https://selenite.cc/resources/semag/iwbtc/index.html
HexGL,hexgl,https://selenite.cc/resources/semag/hexgl/icon_128.png,https://selenite.cc/resources/semag/hexgl/index.html
Champion Island,championisland,https://selenite.cc/resources/semag/championisland/icon.png,https://selenite.cc/resources/semag/championisland/index.html
Learn to Fly,learntofly,https://selenite.cc/resources/semag/learntofly/icon.png,https://selenite.cc/resources/semag/learntofly/index.html
Wordle Bot,wordlebot,https://selenite.cc/resources/semag/wordlebot/icon.png,https://selenite.cc/resources/semag/wordlebot/index.html
Cut The Rope,cuttherope,https://selenite.cc/resources/semag/cuttherope/icon.png,https://selenite.cc/resources/semag/cuttherope/index.html
Chess,chess,https://selenite.cc/resources/semag/chess/icon.png,https://selenite.cc/resources/semag/chess/index.html
Flappy Bird,flappybird,https://selenite.cc/resources/semag/flappybird/icon.png,https://selenite.cc/resources/semag/flappybird/index.html
Lows Adventures 2,lowsadventures2,https://selenite.cc/resources/semag/lowsadventures2/icon.png,https://selenite.cc/resources/semag/lowsadventures2/index.html
Drift Boss,drift-boss,https://selenite.cc/resources/semag/drift-boss/icon.png,https://selenite.cc/resources/semag/drift-boss/index.html
Fireboy & Watergirl 1,fireboywatergirl,https://selenite.cc/resources/semag/fireboywatergirl/icon.png,https://selenite.cc/resources/semag/fireboywatergirl/index.html
Gun Mayhem,gunmayhem,https://selenite.cc/resources/semag/gunmayhem/icon.png,https://selenite.cc/resources/semag/gunmayhem/index.html
Duck Life 4,ducklife4,https://selenite.cc/resources/semag/ducklife4/icon.png,https://selenite.cc/resources/semag/ducklife4/index.html
Achievement Unlocked,achieveunlocked,https://selenite.cc/resources/semag/achieveunlocked/icon.png,https://selenite.cc/resources/semag/achieveunlocked/index.html
Achievement Unlocked 2,achieveunlocked2,https://selenite.cc/resources/semag/achieveunlocked2/icon.png,https://selenite.cc/resources/semag/achieveunlocked2/index.html
This Is The Only Level,thisistheonlylevel,https://selenite.cc/resources/semag/thisistheonlylevel/logo.png,https://selenite.cc/resources/semag/thisistheonlylevel/index.html
This Is The Only Level 2,thisistheonlylevel2,https://selenite.cc/resources/semag/thisistheonlylevel2/icon.png,https://selenite.cc/resources/semag/thisistheonlylevel2/index.html
Bitlife,bitlife,https://selenite.cc/resources/semag/bitlife/bitlife.png,https://selenite.cc/resources/semag/bitlife/index.html
Duck Life 1,ducklife1,https://selenite.cc/resources/semag/ducklife1/ducklife1.png,https://selenite.cc/resources/semag/ducklife1/index.html
Duck Life 2,ducklife2,https://selenite.cc/resources/semag/ducklife2/ducklife2.png,https://selenite.cc/resources/semag/ducklife2/index.html
Duck Life 3,ducklife3,https://selenite.cc/resources/semag/ducklife3/ducklife3.png,https://selenite.cc/resources/semag/ducklife3/index.html
OvO,ovo,https://selenite.cc/resources/semag/ovo/ovo3.png,https://selenite.cc/resources/semag/ovo/index.html
There Is No Game,thereisnogame,https://selenite.cc/resources/semag/thereisnogame/icon-256.png,https://selenite.cc/resources/semag/thereisnogame/index.html
Universal Paperclips,universal-paperclips,https://selenite.cc/resources/semag/universal-paperclips/universal-paperclips.png,https://selenite.cc/resources/semag/universal-paperclips/index.html
Learn to Fly 2,learntofly2,https://selenite.cc/resources/semag/learntofly2/logo.jpg,https://selenite.cc/resources/semag/learntofly2/index.html
Worlds Hardest Game 2,worldhardestgame2,https://selenite.cc/resources/semag/worldhardestgame2/the-worlds-hardest-game-2.jpg,https://selenite.cc/resources/semag/worldhardestgame2/index.html
Vex 7,vex7,https://selenite.cc/resources/semag/vex7/icon.jpeg,https://selenite.cc/resources/semag/vex7/index.html
Slope Ball,slope-ball,https://selenite.cc/resources/semag/slope-ball/icon.jpg,https://selenite.cc/resources/semag/slope-ball/index.html
Slope 2,slope2,https://selenite.cc/resources/semag/slope2/slope-2-logo.png,https://selenite.cc/resources/semag/slope2/index.html
Learn to Fly Idle,learntoflyidle,https://selenite.cc/resources/semag/learntoflyidle/icon.jpg,https://selenite.cc/resources/semag/learntoflyidle/index.html
Red Ball 4,redball4,https://selenite.cc/resources/semag/redball4/redball4.webp,https://selenite.cc/resources/semag/redball4/index.html
